label,origin_id,punchline_idx,text_a,text_b
1,45,3,a lawyer turned cook is,a sue chef
0,46,9,You spend alot of time going by too fast in a,car someone else is driving
0,47,6,She wanted to know what to get my,boyfriend for Christmas
1,48,15,one night a banking tycoon fell overboard from his yacht he was saved because he could float,a loan
1,49,2,she became a golf,professional to earn her bread and putter
0,50,7,I would say he was the rave of the,tournament
0,51,0,tell me,your age first then i tell you how
0,52,0,That it,s a sign of danger especially in a kid
1,53,4,any golfer will tell you the,gospel truth your next shot always depends on the lie
1,54,7,his daughter grew flowers because her poppy liked to,see them every daisy
1,55,5,on valentine s day flower prices rose,to the occasion
1,56,5,make no bones about it but the,ulna has a humerus side to it
0,57,2,When we eat it,s a lot and the best
1,58,1,a photographer taking,pictures of golfers says watch the birdie
1,59,4,my skiing skills are really going,downhill
0,60,1,Those who left,could not carry it all with them
1,61,9,a lot of money is tainted it taint yours and it,taint mine
1,62,1,there is some,confucion about the oldest religion in china
0,63,12,Go have your doctor take a look at it so that she can give,you a proper prescription
1,64,8,what is it called when legolas takes his own picture,an elfie
0,65,4,He was ready for Iowa but,Iowa wasn t ready for him
0,66,7,You can either hit enter twice or use your,space bar twice
0,67,1,What it boiled,down to was I felt there was a better way to provide electricity
1,68,4,the fruit farmer was plum happy,he pruned his orchard last fall
1,69,5,what is the name of the immortal,adolescent constantine
0,70,0,No melon,peddler cries Bitter melons No wine dealer says Sour wine
0,71,26,It does not have the personal contact that a human teacher has so I would say that people should take lessons from a real teacher as well if,they can
0,72,10,He said he was home for about five minutes when he heard,a man yelling outside
0,73,1,He s resigned,to the fact that he s going to jail Baker said
1,74,4,when he lost his bottle of,gin he became very dis spirited
1,75,4,a photographer was great at botany,because he knew photo synthesis
1,76,3,i don t trust these,stairs because they re always up to something
0,77,13,i don t know I have been trying for a while to figure that out,if you find something good please let me know
0,78,4,If the boys can t wear,em then the girls can t
1,79,16,deafness is getting to be quite a problem for me lately i never thought i d hear myself,say that
1,80,0,a king,is old when he reaches the age of sovereignty
0,81,0,He that,would the daughter win Must with the mother first begin
1,82,1,the annoying dermatologist,was beginning to get under my skin
1,83,3,strippers are bad investors as,they tend to lose their shirts
1,84,7,luridly sailing by the clock on a sea of,mucus is a phlegmbuoyant pastime
1,85,7,the recent windstorm through the trees was an absolute,debarkle
0,86,5,We meant to change a nation and,instead we changed a world
0,87,9,There are ads in the paper sometimes other wise get an,agent
0,88,2,Man cannot stir one,inch without the push of heaven s finger
1,89,11,a hangman telling a joke can be cord ial but he will string,you along to the punish line
1,90,1,decimals have a,point
0,91,14,Make yourself better You are part of the world so if you make yourself better you,re also making the world better
0,92,5,How old are you and how old,is the lady you are interested in
0,93,5,He that goes barefoot must not plant,thorns
0,94,4,Look for the good not the,evil in the conduct of members of the family
0,95,6,She has arranged full time child care so,she can continue working
0,96,10,He said it took him two months to read it and then,he decided to return it
1,97,5,a train load of paint derailed nearby,businesses were put in the red
0,98,3,We will have to say,No when we really want to say Yes
0,99,5,My show is going to be more,reflective of America
1,100,4,my dog has a lot of,potential you just have to unleash it
0,101,7,We are no more than candles burning in the,wind
0,102,7,The market is likely to play a cat and,mouse game with the central banks for the next few days
0,103,6,move out and get an apartment and a,full time job and do that for a year
1,104,16,they said he drank 2 bottles of whisky a day but it wasn t true he had to,scotch those rumours right away
0,105,13,The real problem today was the drop in the bond market and the drop in,the dollar
1,106,4,sign on the door of an,internet hacker gone phishing
1,107,10,to insure his own survival bugs was aiming to see elmer between,two cross hares
1,108,0,one of,the joys of being a lightweight is that commuting by wind is a breeze
1,109,0,smaller babies,may be delivered by stork but the heavier ones need a crane
1,110,4,after my ear operation i feel,sound
0,111,3,In this he saw a,chance for a new professional beginning
0,112,11,When two agree in their desire One sparke will set them both on,fire
0,113,19,Short of sex all you should do is just be with him all the time but give him his space so,he can breath
1,114,7,a harp that was shaved is a bare faced,lyre
1,115,13,i used to do rock climbing as a youth but i was much boulder back,then
1,116,0,how do,you find a missing train follow the tracks
1,117,5,making your own hard liquor is a,whiskey business
1,118,9,ducks don t have their palms read they look for it,on the web
1,119,5,i m very picky about my hair,so a strange barber just won t cut it
0,120,8,worst job i have ever had i am the owner,too
0,121,9,It hasn t been an easy year but a good one,he said
1,122,8,the ship was full but the sailors weren t playing,with a full deck
1,123,6,the arrogant math teacher finally ate a slice,of humble pi
0,124,2,You can laugh at,some of these people he said
1,125,10,after he invented the light bulb people saw edison in a new,light
0,126,10,You go into your friends lives and you pull out what you,can use
0,127,9,If he is forced to return to Italy he added they,kill me
0,128,12,The two men wound up calling police who let them out about an hour,later
1,129,1,buy a chicken,franchise and you ll soon find out your pecking order
1,130,4,when i m lying on the,floor i feel like the whole world is against me
1,131,5,computers at breakfast food companies use serial,i o
1,132,0,a lawyer,asked his dentist to give him a retainer
1,133,8,a lawyer who likes to go fishing is an attorney,at lure
0,134,4,I m surprised no one ever,thought of it earlier
0,135,3,Of course now I understand,that it was my other self she said
0,136,7,I don t plan that far ahead he said,with a smile
0,137,4,There are a lot of online,programs but you aren t going to find one for free
1,138,20,i ve been called a rare commodity i wonder if that makes me silver or gold i guess i could be either,ore
1,139,16,if i study to become a roofing expert in the future will i be preparing for the here,rafter
1,140,9,the frog went unnoticed in the milkshake because it blended so,well
1,141,5,the almanac of famous ghosts is a,real boos who
1,142,9,he wanted to become a pilot but decided that it was,over his head
0,143,1,Caution is the,parent of delicate beer glasses
0,144,9,take a course that no one else is taking and you,ll be the best
1,145,1,iris was a,private eye who was often in the public eye
0,146,0,When you,re hot you re hot and right now Cajun is hot every which way
1,147,7,the river crested when a factory spilled toothpaste into,it
1,148,2,the chef who tried,to bribe a judge with polenta was held in corntempt
0,149,9,Govern a family as you would cook a small fish very,gently
0,150,5,Go back to school and learn some,grammar before you do anything else Then give more information as to what you are looking for in the field of work
1,151,1,contemplating my imminent,root canal procedure was deeply unnerving
0,152,4,My problem is I want to,do everything she said
1,153,0,riding the,escalator is a step up from always walking on the same level
1,154,7,whenever i go near my bank i get withdrawal,symptoms
0,155,6,I said I was going to do it,and I did it
0,156,6,Where I have at times asked myself where,have you come from
0,157,14,The person killed and two injured were all believed to have been in the car she,said
1,158,7,in a scandinavian race the last lapp crossed the,finnish line
1,159,2,of all sports humor,football is my favorite i get a kick out of the punts
0,160,6,Whom we love best to them we can,say least
1,161,14,after gus gave his girlfriend a 3 dollar box of chocolates for her birthday he got,nothing but snickers
1,162,4,the orthopaedist slipped outside for a,break
1,163,5,my wife wanted me to take her,to visit northern canada but i was having nunavut
0,164,2,I would say very,carefully I would get a professional instructor
0,165,4,you haven t owned cats for,too long have you Get another cat
0,166,14,find a common interest and go up and talk to him do you have anything to,lose
1,167,8,during the trial a lawyer objected to the audiologist s,testimony calling it hearsay
0,168,4,A lot of people go into,the business because they think it s going to give them something
0,169,7,A movie based on the novel was released a,year later
1,170,1,making up puns,about the finest soil is the loess form of humor
0,171,9,We have lived under emergency rule for now more than five,years
0,172,2,There s not too,many people who have that combination
0,173,9,go back to the place where you bought it and ask,how to use it
1,174,10,i went to the store to buy some soup but they were,out of stock
0,175,10,Every reporter has his own way of getting things of getting sources,of getting to the news
0,176,10,One has to make a decision I ve made that decision he,said
1,177,2,he dined with her,at the local beanery and was immediately inflatuated
1,178,9,the one who invented the door knocker got a no bell,prize
1,179,6,where did anastasia go i don t know,she must of been romanov
0,180,4,I had to go through that,house and feel like I owned it
0,181,1,The face is,no index to the heart
1,182,3,marie antoinette said that feeding,the peasants was a piece of cake
0,183,13,One monk shoulders water by himself two can still share the labor among them When,it comes to three they have to go thirsty
1,184,5,two cheerleaders got married after they met,by chants
0,185,8,It s much harder now to get a handle on,what they do
1,186,11,trophy shops often will give customers floss with their purchase to eliminate plaque,problems
1,187,0,the concert,violinist believed in exercise consequently he was fit as a fiddle
1,188,7,a doorbell salesman joined the choir and chimed right,in
1,189,0,my cartography,job is really going to put me on the map
1,190,11,if you need to count your pennies you are definitely looking for a,disc count
0,191,5,We kept asking George to do it,over and over again
0,192,4,Great blessings come from heaven small,blessings come from man
0,193,1,And we decide,where it should go and by what route and how fast
0,194,7,The market just doesn t want to go down,one dealer said
0,195,1,Even if you,screwed up you could still make a profit in video
0,196,9,use a pizza stone and get it good and hot before,baking
0,197,3,Better the cottage where one,is merry than the palace where one weeps
1,198,1,the fisher said,he liked the sea on the surface of it
1,199,10,burning too much incense in a rented room could make the owner,incensed
1,200,3,an electrician s work is,well grounded
1,201,6,geology class is the foundation of a decent,education
0,202,9,Last week she bought all the magazines that have written about,it
0,203,6,It all gets mixed up you steal from,all your friends
1,204,8,you won t feel the squeeze with this great juicer,deal
0,205,9,look on the back of the card there should be a,number on there
0,206,7,Due to inflation it s time to start paying,for coffee
1,207,0,her bees,made such delicious honey it was said that she could almost work magic with those bees they called her beatrix
0,208,2,Put hot water a,tissue paper and put hot water on it
1,209,11,my dentist would simply not stop working on my teeth he was abscessive,compulsive
0,210,9,Someone asked me what was the best part of the whole,case
0,211,7,At least 10 of the injured later died he,said
1,212,0,dissatisfied with,the lack of thoroughness in the demolition of the old tavern he got into the bulldozer himself and razed the bar to a new level
1,213,12,the calculus teacher tried to keep his students on task but the class discussion,kept going off on tangents
1,214,5,i started to work at a seafood,buffet but then i pulled a mussel
0,215,0,Man has,a thousand plans heaven but one
0,216,2,It s true when,they say the good die young
0,217,0,Nature is,better than a middling doctor
1,218,6,i tinted my hair today it was the,highlight of my day
0,219,13,I started to give my keys to the police but they said No you do,it
1,220,4,he won the twister contest hands,down
1,221,6,music of the seventies spawned many new record,labels mostly now defunked
1,222,3,i love playing golf but,when putting i can never catch a break
1,223,0,contacts are,easy to lose so keep your eyes on them
0,224,28,Nobody has ever before asked the nuclear family to live all by itself in a box the way we do With no relatives no support we ve put it in,an impossible situation
1,225,1,i dated a,politician over the holidays but when i wrapped myself up as a present he couldn t cut through the red tape
0,226,5,The prime minister suggested that Spain had,turned a corner after coming out of recession in the third quarter of last year
0,227,26,you should just tell him i told this really cute boy that i liked him and he liked me too so just tell him and don t get,nervous
1,228,7,purchasing land in baton rouge won t bayou a,thing
0,229,1,You can put,a after the link along with the person s ID name to pull up a certain briefcase
0,230,9,if you have a real dental problem then go ask your,dentist
1,231,3,the irs left a message,on my cell phone that i owed them more money it was a taxed message
1,232,5,the fraternity member was hungry so he,eta pi
1,233,9,my new theory on inertia doesn t seem to be gaining,momentum
1,234,6,if a monk throws a hissy fit is,it a temple tantrum
0,235,2,Sending charcoal in the,snow is better than adding flowers to a brocade
1,236,14,even though the chef s girlfriend was grate in many ways she had a temper that,boiled easily was half baked and extremely kneady
1,237,0,a surgery,nurse was demoted for being absent without gauze
1,238,8,the astronomer quit his job to become a barber eclipse,hair now
1,239,6,my grade in marine biology is below sea,level
1,240,0,textile workers,who lived at the manufacturing site in fabricated dwellings were closely knitted
1,241,0,the executioner,decided to drop out of executioner school it was just too cut throat for him
0,242,4,Yes and you can pull it,off even with a small bathroom
1,243,2,the magazine s rationale,for running the story was paper thin
0,244,11,As you know we re not quite a happy group in China he,said
0,245,6,After much trial and error a pie dough,that s delicious and gluten free
0,246,12,Although Christmas vacation started earlier at city schools than at other school systems another,day off would have been nice most students agreed
0,247,9,Empty the clear path to heaven crowded the dark road to,hell
1,248,6,a boy who instinctively waves at people has,a natural hi
0,249,5,I don t know what it was,said the man inside the car
1,250,8,i ve just read a book about a bean growing,up in southern usa it s called the adventures of tom soya
0,251,21,if a girl likes you she will make a big deal about being like next to you and stuff or you could ask,her out
1,252,8,if you think you are a set of curtains either,see a psychiatrist or pull yourself together
0,253,7,We were talking when I heard a noise and,saw a flash
0,254,4,For all I know you aren,t required to get one And I have worked in construction and used one
1,255,4,how could i trust the ceiling,fan installer when i knew he was always screwing up
0,256,2,You know down the,hall and up the stairs from this office is the part of the White House where the president and his family live
1,257,0,an heir,is someone with a descent wage
0,258,7,throw a potato in the ground and let it,grow
0,259,4,Making money selling manure is better,than losing money selling musk
0,260,2,It is a beggar,s pride that he is not a thief
1,261,2,the fisherman kept bragging,about the big fish he caught but he would not be very pacific about where he caught it
1,262,5,automatic machines that compete in sculling are,rowbots
1,263,11,what do you call a musician who steals sheet music a clef to,maniac
1,264,1,reading music makes,me crotchety
1,265,1,tried some bear,stew it was a little grizzly
0,266,3,They have also said that,they were worried about it
1,267,10,a primitive tribe known as the inno had no money until they,reached the age of inno cents
1,268,12,when i heard she bought me a new cd it was music to my,ears
1,269,8,a river dredging project was to undergo an in depth,audit
1,270,23,the otolaryngologist had not heard much about health care reform he thought the plan smelled fishy and the debate left a bad taste in his,mouth
0,271,4,Getting fat is the only way,unless you want to exercise or get implants
0,272,17,I would say you don t deal with him you just leave him he s not worth it you,are
0,273,7,It s no more than a sign of the,times
1,274,2,the patron saint of,poverty is st nickeless
0,275,12,find another girl that one is taken and will be busy on Valentine s,Day
1,276,0,the inept,nerd married a nuclear software engineer who made great fission chips she was his bride and booter
1,277,9,a racer who was also a golfer really knew how to,drive
1,278,8,when the first telephone rang it was alexander graham s,bell
0,279,11,They re all pretty experienced and had a lot of knowledge as far,as what to do
1,280,9,i took up teaching fencing as i wanted my students to,get the point
0,281,4,Vision without action is a daydream,Action with without vision is a nightmare
1,282,15,it took the replay analyst a long time to cut his grass he did it in slo,mow
1,283,6,a fish became a waiter and he liked,people to tip the scales
1,284,8,i once heard a joke about amnesia but i forgot,how it goes
0,285,9,My father came home from work one day and said how,about court reporter
1,286,0,early nuclear,experimenters discovered an element of surprise
1,287,5,those who live beyond their means should,act their wage
1,288,11,i met a man who loves eating couches i think he has a,suite tooth
0,289,8,go to a dealer and ask for the code it,cost 50
1,290,6,pythons go to great lengths to kill their,prey
0,291,0,Jam tomorrow,and jam yesterday but never jam today
0,292,1,glass cleaner works,good but you have to dry it by hand as you spray it on
1,293,8,aliens can easily understand each other because their language is,universal
1,294,2,a curling iron is,a permanent solution to a hairy problem
0,295,3,well if you loss weight,past tense then you have no problem right
0,296,4,All animals are equal but some,animals are more equal than others
0,297,2,The poor man didn,t really get to do what he wanted to do
0,298,18,Make sure you care about people before you take any courses No course will help if you don t want,to help others
0,299,1,Don t cross,the bridge until you come to it
0,300,4,A hearth of your own is,worth gold
1,301,0,the experienced,carpenter really nailed it but the new guy screwed everything up
1,302,2,some spanish government employees,are seville servants
1,303,5,i pursed my lips to coin a,phrase
0,304,1,Can you imagine,me wearing that down the street here
1,305,3,if you do research in,optics you will have to do some light reading
0,306,7,highlight everything else so you can t tell the,difference
1,307,7,when the tornado went through town it was quite,a blow
1,308,5,during an earthquake in california a bank,went into default
0,309,6,The island has several places to watch and,dance to live music
0,310,0,when your,heart double pump or triple pump when you see her him that s it
1,311,1,scientists studying the,sun have a flare for research
1,312,7,that really nice fellow works in a clothing factory,sewing zippers on jeans that is good he wouldn t hurt a fly
1,313,12,we re not getting anywhere in geometry class it feels like we re going,in circles
0,314,3,A comment on a hotel,s campaign and a search for a 50 year old advertising campaign
1,315,8,those who choose not to eat slowly get hungry and,fast
1,316,6,realtors guilty of steering deserve the rack but,that s just my pinion
1,317,0,gunpowder was,invented in a flash
0,318,5,I dream more for my friends and,family and less for myself
1,319,2,my dog was mustard,colored that made him a gulden retriever
0,320,0,It did,not say what could have caused the blast
1,321,8,the apple crossed the street because he wanted to get,to the other cider the road
0,322,7,It made me sit up straight in bed she,said
0,323,2,While the parents go,out for dinner the children stay behind at the hotel s kids club
1,324,0,the middle,east does not need any psychiatrists because there are nomad people
0,325,3,i forget just now but,wait what was the question again
1,326,5,a man who kept stealing mopeds was,obviously a cycle path
1,327,13,although nobelists tend to have dynamite personalities niels was a bohr and linus was a,pauling
0,328,4,But he continued Bush has said,it can be done and that he will do it
1,329,6,dorothy s medical instructor was the wizard of,gauze
1,330,10,the truant officer caught several kids at the ice rink they were,playing hockey
1,331,0,the baker,had ten children and there was always a bun in the oven
1,332,3,the price of the big,fan blew me away
1,333,13,some people take beautiful pictures and cut them into pieces that s a puzzle to,me
0,334,0,Of a,good beginning cometh a good end
0,335,0,easy with,your mouth Just joking just write a letter it may just work
0,336,9,follow your heart and be cool because it can make you,or break you
0,337,7,find a girl that you like and treat her,nicely and just be your self then when you feel the time is right ask her out
0,338,21,You can t really you should have in school already There s nothing else you can do just think pay close attention and,you ll be fine
1,339,6,since i ve taken the job in the,everglades i ve been swamped
0,340,7,a thing called soap and water try it some,time
0,341,12,I just saw a little blood at first and thought good it s not,serious he s going to live
0,342,0,You don,t There s a clock on the stove
1,343,9,an astronaut broke the law of gravity and got a suspended,sentence
1,344,7,if you golf on election day cast an absent,tee ballot
1,345,8,what do you call a podium that eats people hannibal,lectern
0,346,0,be yourself,someone will fall in love with you for who you are
1,347,5,the spear fisherman can be a real,pain in the wrasse
1,348,11,the string quartet drank and played furiously through the night and then passed,out but that was a foregone conclusion
0,349,4,Poor thieves in halters we behold,And great thieves in their chains of gold
1,350,16,the waiter was shocked when i asked for my salad to be served naked i explained no dressing,please
0,351,1,Pure gold does,not fear the smelter
0,352,12,When I began the search I didn t know there was enough for a,show
1,353,3,the angry ice cube boiled,with anger then let off some steam
0,354,7,I don t think that anyone can blame the,kingdom if the contract is broken
1,355,6,what was the leader of russia s favourite,food czardines
0,356,6,If thou canst not see the bottom wade,not
0,357,12,A bird does not sing because it has an answer It sings because it,has a song
1,358,7,a yak is the star of an animal talk,show
1,359,7,losing your head in an emergency is a no,brainer
0,360,6,The decision to leave one of the largest,markets in the nation was not an easy one
1,361,5,what is a lumberjack s favorite month,septimber
0,362,0,I based,my campaign on ending the war in Korea
0,363,6,Getting money is like digging with a needle,Spending it is like water soaking into the sand
0,364,7,There s nothing of what they have promised he,said
1,365,6,the tap dancer s routine ran hot and,cold
1,366,1,they won t,know who robbed the scotch factory until they check the tape
0,367,5,This property will be given to the,foundation when I go to the great cat box in the sky
0,368,9,Put down the glass cleaner and use these display friendly cleaning,tips
0,369,7,I ve had to buy over 60 tires she,said
1,370,7,my stuffing was bad so i got some sage,advice
0,371,14,We want him as long as we can have him but you never know at his,age
1,372,3,did you know that donuts,were first made in greece
1,373,4,did you hear about the nervous,preacher he had sweaty psalms
0,374,9,We simply don t get the press because for us it,s more routine
1,375,10,that religious fellow fell for the same scam two times in a,row he is a burned again christian
1,376,5,is it true that exits are on,the way out
0,377,10,But I don t think in the end that he is really,evil
1,378,26,the retired general would not help his grandson color easter eggs but he did give the boy some cottage cheese old soldiers never dye they just feed some,whey
0,379,7,And you can t do it from the top,of a hill with field glasses
1,380,12,if your doctor is a quack you have every right to duck him on,the bill
1,381,10,stealing santa s bag of toys on christmas eve would be absolute,sacrilege
1,382,1,the ancient japanese,leader lost his legs in a logging accident and became a sawed off shogun
1,383,5,i opened a shop selling budgerigars they,re flying off the shelves
1,384,0,optometrists live,long because they dilate
0,385,11,New on the snack front are two chips made with legumes and without,gluten
0,386,0,Go to,your local state teaching hospital ask for the dental school and you can have better teeth than the rich and famous
0,387,4,A half truth is a whole,lie
0,388,4,Venture not to defend what your,judgment doubts of
0,389,8,It did not say where in the United States the,arms were bought
0,390,9,If those arrested cannot be charged they should be released he,said
1,391,2,an electrician claimed that,his truck was a volts wagon
1,392,10,my uncle refused to obey his controlling wife proving to be most,defy aunt
1,393,8,the owner of the hair salon had to make cuts,on his staff
1,394,1,bear fights can,often turn grizzly
0,395,4,He was in his office an,hour later joined by a few family members including his wife two children parents and mother in law
1,396,1,what happens when,food testers go on strike fast resolution
1,397,4,cleopatra was the pharaohs one of,all
0,398,4,The mouth is the door of,evil
0,399,6,It s come together over the past year,he said
1,400,11,i should have been sad when my flashlight batteries died but i was,delighted
1,401,7,if you drive a train you can t afford,to lose track
0,402,13,It s hard for me to run because I have a long body and short,legs
1,403,5,if you re dying to purchase cropland,in thailand then you ve baht the farm
0,404,7,Plan your year in the spring your day at,dawn
1,405,10,the shoemaker did not deny his apprentice anything he needed he gave,his awl
0,406,16,A neighbor said the woman was depressed since the loss in June of her husband Mark of 45,years
1,407,2,gossipy monkeys are blab,boons
0,408,10,They also have not helped with plans or with specialized knowledge he,said
1,409,18,my friend and i are going to drive across the southern states of america just to see how long it,texas
0,410,2,A man who robbed,a bank left documents for his wife s car loan at the teller s window police said
0,411,0,When you,have no choice mobilize the spirit of courage
1,412,0,drinking too,much of a certain potent potable may require a leave of absinthe
0,413,1,The children are,missing school We want to go home
1,414,0,the trampoline,was on sale for fifty per cent off needless to say i jumped on the offer
1,415,7,short order cooks in busy restaurants call themselves pressure,cookers
0,416,1,Put a stout,heart to a stey brae
1,417,1,the brightest day,of the week is sun day
0,418,5,To be so rich that you could,do whatever you want
0,419,4,Covet wealth and want it don,t and luck will grant it
0,420,1,It s not,easy to start the new year like this
0,421,0,do a,search for plumbing related terms and you ll be on your way my good man
1,422,2,there are a lot,of bakeries on the yeast coast
1,423,5,straw hats are no longer in their,hay day
1,424,4,her decision to take up rock,climbing was precipitous to say the least
1,425,3,i m reading a book,about mazes i got lost in it
0,426,6,There won t be any winter or summer,White House anywhere
0,427,1,I m not,saying people can do without personal relationships
0,428,7,search free public records some are free in certain,states
0,429,0,We just,got the word that it s not the one they had claimed it was
1,430,6,what do you call the garden police lawn,and order
0,431,12,Then I sit out in the sun like an animal and get dry he,says
0,432,7,That has got to be down to the skill,of the pilot
1,433,3,they took soft drinks off,the menu just to sprite people
0,434,7,When the time comes even a rat becomes a,tiger
0,435,1,I think the,lead probably was the one that hit
1,436,1,in the army,mess hall the men were getting fed up
0,437,14,How do you keep the kids down on the farm after they ve seen the big,bucks and high life
1,438,20,why was the ink drop sad because her dad was in the pen and she didn t know how long the sentence,would be
0,439,11,There are stress balls or i just get up and move around or,get on here
0,440,5,He said he will leave the post,by the end of January
1,441,6,the discovery of how to make steel was,ironic
1,442,3,a used car salesman started,a chain and thus founded the auto man empire
0,443,15,I tried to joke about how these things could fly on one engine and glide down he,said
0,444,17,There is no good way to tell You have to always be careful not to say anything that you,would get in some kind of trouble for
0,445,1,He then went,out and found her body buried nearby
0,446,3,When pleasure interferes with business,give up business
1,447,1,watching your own,back is a sign of flexibility
0,448,8,The day you decide to do it is your lucky,day
1,449,3,a pyrotechnician should know how,fireworks
1,450,4,psychopaths always see amoral in the,story
0,451,9,You can not You only have control over you If you,re happy with yourself you will find the girl who is right for you when you least expect it
1,452,6,when accountants are left a loan they become,very debticated
1,453,3,it s a fact taller,people sleep longer in bed
0,454,1,There is no,way to make yourself have your first period It will come when the time is right
0,455,2,Don t fall before,you re pushed
1,456,2,telescope owners are starry,eyed
0,457,0,Year of,snow fruit will grow
1,458,1,if you play,around with a guillotine you ll beheaded for an accident
1,459,4,will this computer last five years,obsoletely
0,460,2,Why would anyone have,to murder them or run them down
1,461,6,big spenders have a whole lot of purse,onality
0,462,1,just be up,front with her if she likes you and it is meant to be everything will work out on its own
1,463,8,the bank s clients went belly up due to phishing,operations
1,464,0,sleeping comes,so naturally to me i could do it with my eyes closed
1,465,2,early stone tools had,many problems that were eventually ironed out
1,466,4,my only skill is knowing driving,directions but they tell me that s not going to get me anywhere in life
1,467,0,i m,not a big fan of archery it has too many drawbacks
0,468,10,Just be yourself and talk to the girl you like She is,no better then anyone else
0,469,3,That first patient a 6,year old girl lived only a few hours
0,470,6,I hope to buy them the good things,in life
1,471,0,during my,trip to italy i didn t do much i just vegged out when in rome do as the romaines
0,472,3,I would go out and,do new things to get your mind off her
1,473,2,he was selling palm,trees but people thought it was a shady deal
1,474,2,if you take a,job in the far east you will have to go through an orient ation period
0,475,5,A chicken is hatched even from such,a well sealed thing as an egg
0,476,4,It s up to them to,decide how much they want to cut
1,477,8,the flanders native kept clearing his throat because he was,phlegmish
0,478,0,The great,thing about sex is the more you have the more you want Have fun
0,479,12,The post office fire station city hall and a school were all destroyed he,said
1,480,11,the politician is not one for indian food but he s good at,currying favors
0,481,14,A look at the day in sports from a cycling race in France to high school,wrestling in Pennsylvania
1,482,1,my mailman should,be a comedian his delivery is perfect
1,483,17,an orthodontist was found dead killed with a hatchet however no one was arrested as the death was declared,axe idental
0,484,7,They re getting so old and I wonder How,about me
1,485,5,the anesthesiologist s computer has an ethernet,connection
0,486,10,I think the devil was mad that something so beautiful was being,built
1,487,7,an undercover doctor gave his operation a code name,of liver
1,488,3,a pun spun with a,good yarn gets fabricated
0,489,4,Look up your local mass transit,system s route or call and ask
1,490,6,when the orchard owner went to trial he,was judged by a jury of his pears
1,491,7,the inventor of sandpaper had a rough time of,it
0,492,11,This way they just made the people too angry to sit and take,it any more
1,493,10,you decide what kind of light bulbs to buy by a process,of illumination
1,494,10,we spent all day debating about housefires it was quite a heated,argument
0,495,5,Jade and men both are sharpened by,bitter tools
0,496,1,It can be,difficult to figure out exactly what can get you thrown off a flight and how often passengers are removed
1,497,6,the correct formula for concrete is worthwhile to,cement in your mind
0,498,8,Go to the link below It should answer all your,questions about installation
1,499,1,astronauts like to,do launch
0,500,15,Although seas were only 1 to 1 feet passengers were not used to traveling by sea he,said
0,501,8,Those people could be in a lot of trouble she,said
0,502,2,get your most amount,of points each day and continue the process
1,503,0,when the,plant couldn t absorb water properly he sought a xylem
1,504,12,don t get lost in the mist or else you won t have the,foggiest idea where you are
